"V1"	"V2"	"complex"
"54"	"DTNBP1"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"55"	"BLOC1S4"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"56"	"BLOC1S6"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"57"	"DTNBP1"	"BLOC1S5"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"58"	"BLOC1S5"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"59"	"BLOC1S6"	"BLOC1S5"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"60"	"DTNBP1"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"61"	"DTNBP1"	"BLOC1S6"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"62"	"BLOC1S6"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"63"	"ARPC2"	"ARPC1B"	"Arp2/3 protein complex"
"64"	"ARPC3"	"ARPC1B"	"Arp2/3 protein complex"
"65"	"ARPC5"	"ARPC1B"	"Arp2/3 protein complex"
"66"	"ARPC4"	"ARPC1B"	"Arp2/3 protein complex"
"67"	"ARPC1B"	"ACTR3"	"Arp2/3 protein complex"
"68"	"ARPC1B"	"ACTR2"	"Arp2/3 protein complex"
"69"	"ARPC3"	"ARPC2"	"Arp2/3 protein complex"
"70"	"ARPC5"	"ARPC2"	"Arp2/3 protein complex"
"71"	"ARPC4"	"ARPC2"	"Arp2/3 protein complex"
"72"	"ARPC2"	"ACTR3"	"Arp2/3 protein complex"
"73"	"ARPC2"	"ACTR2"	"Arp2/3 protein complex"
"74"	"ARPC5"	"ARPC3"	"Arp2/3 protein complex"
"75"	"ARPC4"	"ARPC3"	"Arp2/3 protein complex"
"76"	"ARPC3"	"ACTR3"	"Arp2/3 protein complex"
"77"	"ARPC3"	"ACTR2"	"Arp2/3 protein complex"
"78"	"ARPC5"	"ARPC4"	"Arp2/3 protein complex"
"79"	"ARPC5"	"ACTR3"	"Arp2/3 protein complex"
"80"	"ARPC5"	"ACTR2"	"Arp2/3 protein complex"
"81"	"ARPC4"	"ACTR3"	"Arp2/3 protein complex"
"82"	"ARPC4"	"ACTR2"	"Arp2/3 protein complex"
"83"	"ACTR3"	"ACTR2"	"Arp2/3 protein complex"
"84"	"AP1G2"	"AP1G1"	"AP1 adaptor complex"
"85"	"AP1S2"	"AP1G1"	"AP1 adaptor complex"
"86"	"AP1S1"	"AP1G1"	"AP1 adaptor complex"
"87"	"AP1G1"	"AP1B1"	"AP1 adaptor complex"
"88"	"AP1S3"	"AP1G1"	"AP1 adaptor complex"
"89"	"AP1M1"	"AP1G1"	"AP1 adaptor complex"
"90"	"AP1M2"	"AP1G1"	"AP1 adaptor complex"
"91"	"AP1S2"	"AP1G2"	"AP1 adaptor complex"
"92"	"AP1S1"	"AP1G2"	"AP1 adaptor complex"
"93"	"AP1G2"	"AP1B1"	"AP1 adaptor complex"
"94"	"AP1S3"	"AP1G2"	"AP1 adaptor complex"
"95"	"AP1M1"	"AP1G2"	"AP1 adaptor complex"
"96"	"AP1M2"	"AP1G2"	"AP1 adaptor complex"
"97"	"AP1S2"	"AP1S1"	"AP1 adaptor complex"
"98"	"AP1S2"	"AP1B1"	"AP1 adaptor complex"
"99"	"AP1S3"	"AP1S2"	"AP1 adaptor complex"
"100"	"AP1S2"	"AP1M1"	"AP1 adaptor complex"
"101"	"AP1S2"	"AP1M2"	"AP1 adaptor complex"
"102"	"AP1S1"	"AP1B1"	"AP1 adaptor complex"
"103"	"AP1S3"	"AP1S1"	"AP1 adaptor complex"
"104"	"AP1S1"	"AP1M1"	"AP1 adaptor complex"
"105"	"AP1S1"	"AP1M2"	"AP1 adaptor complex"
"106"	"AP1S3"	"AP1B1"	"AP1 adaptor complex"
"107"	"AP1M1"	"AP1B1"	"AP1 adaptor complex"
"108"	"AP1M2"	"AP1B1"	"AP1 adaptor complex"
"109"	"AP1S3"	"AP1M1"	"AP1 adaptor complex"
"110"	"AP1S3"	"AP1M2"	"AP1 adaptor complex"
"111"	"AP1M2"	"AP1M1"	"AP1 adaptor complex"
"112"	"PSEN1"	"NCSTN"	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
"113"	"PSEN1"	"APH1A"	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
"114"	"PSENEN"	"PSEN1"	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
"115"	"NCSTN"	"APH1A"	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
"116"	"PSENEN"	"NCSTN"	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
"117"	"PSENEN"	"APH1A"	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"
"118"	"SMARCA5"	"KIF4A"	"DNMT3B complex"
"119"	"SMC2"	"SMARCA5"	"DNMT3B complex"
"120"	"SMARCA5"	"HDAC1"	"DNMT3B complex"
"121"	"SMARCA5"	"SIN3A"	"DNMT3B complex"
"122"	"SMC4"	"SMARCA5"	"DNMT3B complex"
"123"	"SMARCA5"	"DNMT3B"	"DNMT3B complex"
"124"	"SMC2"	"KIF4A"	"DNMT3B complex"
"125"	"KIF4A"	"HDAC1"	"DNMT3B complex"
"126"	"SIN3A"	"KIF4A"	"DNMT3B complex"
"127"	"SMC4"	"KIF4A"	"DNMT3B complex"
"128"	"KIF4A"	"DNMT3B"	"DNMT3B complex"
"129"	"SMC2"	"HDAC1"	"DNMT3B complex"
"130"	"SMC2"	"SIN3A"	"DNMT3B complex"
"132"	"SMC2"	"DNMT3B"	"DNMT3B complex"
"133"	"SIN3A"	"HDAC1"	"DNMT3B complex"
"134"	"SMC4"	"HDAC1"	"DNMT3B complex"
"135"	"HDAC1"	"DNMT3B"	"DNMT3B complex"
"136"	"SMC4"	"SIN3A"	"DNMT3B complex"
"137"	"SIN3A"	"DNMT3B"	"DNMT3B complex"
"138"	"SMC4"	"DNMT3B"	"DNMT3B complex"
"139"	"RABEP1"	"RAB5A"	"RAB5A-RABEP1-RABGEF complex"
"140"	"RABGEF1"	"RAB5A"	"RAB5A-RABEP1-RABGEF complex"
"141"	"RABGEF1"	"RABEP1"	"RAB5A-RABEP1-RABGEF complex"
"145"	"NCOR2"	"HDAC3"	"SMRT complex"
"148"	"TBL1X"	"NCOR2"	"SMRT complex"
"150"	"NCOR2"	"GPS2"	"SMRT complex"
"151"	"TBL1XR1"	"NCOR2"	"SMRT complex"
"152"	"AP3D1"	"AP3B1"	"AP3 adaptor complex"
"153"	"AP3M2"	"AP3B1"	"AP3 adaptor complex"
"154"	"AP3S2"	"AP3B1"	"AP3 adaptor complex"
"155"	"AP3B2"	"AP3B1"	"AP3 adaptor complex"
"156"	"AP3S1"	"AP3B1"	"AP3 adaptor complex"
"157"	"AP3M1"	"AP3B1"	"AP3 adaptor complex"
"158"	"AP3M2"	"AP3D1"	"AP3 adaptor complex"
"159"	"AP3S2"	"AP3D1"	"AP3 adaptor complex"
"160"	"AP3D1"	"AP3B2"	"AP3 adaptor complex"
"161"	"AP3S1"	"AP3D1"	"AP3 adaptor complex"
"162"	"AP3M1"	"AP3D1"	"AP3 adaptor complex"
"163"	"AP3S2"	"AP3M2"	"AP3 adaptor complex"
"164"	"AP3M2"	"AP3B2"	"AP3 adaptor complex"
"165"	"AP3S1"	"AP3M2"	"AP3 adaptor complex"
"166"	"AP3M2"	"AP3M1"	"AP3 adaptor complex"
"167"	"AP3S2"	"AP3B2"	"AP3 adaptor complex"
"168"	"AP3S2"	"AP3S1"	"AP3 adaptor complex"
"169"	"AP3S2"	"AP3M1"	"AP3 adaptor complex"
"170"	"AP3S1"	"AP3B2"	"AP3 adaptor complex"
"171"	"AP3M1"	"AP3B2"	"AP3 adaptor complex"
"172"	"AP3S1"	"AP3M1"	"AP3 adaptor complex"
"173"	"MTA2"	"MBD3"	"Mi2/NuRD complex"
"174"	"RBBP4"	"MTA2"	"Mi2/NuRD complex"
"175"	"MTA2"	"HDAC1"	"Mi2/NuRD complex"
"176"	"MTA2"	"CHD4"	"Mi2/NuRD complex"
"177"	"RBBP7"	"MTA2"	"Mi2/NuRD complex"
"178"	"MTA2"	"HDAC2"	"Mi2/NuRD complex"
"179"	"RBBP4"	"MBD3"	"Mi2/NuRD complex"
"180"	"MBD3"	"HDAC1"	"Mi2/NuRD complex"
"181"	"MBD3"	"CHD4"	"Mi2/NuRD complex"
"182"	"RBBP7"	"MBD3"	"Mi2/NuRD complex"
"183"	"MBD3"	"HDAC2"	"Mi2/NuRD complex"
"184"	"RBBP4"	"HDAC1"	"Mi2/NuRD complex"
"185"	"RBBP4"	"CHD4"	"Mi2/NuRD complex"
"186"	"RBBP7"	"RBBP4"	"Mi2/NuRD complex"
"187"	"RBBP4"	"HDAC2"	"Mi2/NuRD complex"
"188"	"HDAC1"	"CHD4"	"Mi2/NuRD complex"
"189"	"RBBP7"	"HDAC1"	"Mi2/NuRD complex"
"190"	"HDAC2"	"HDAC1"	"Mi2/NuRD complex"
"191"	"RBBP7"	"CHD4"	"Mi2/NuRD complex"
"192"	"HDAC2"	"CHD4"	"Mi2/NuRD complex"
"193"	"RBBP7"	"HDAC2"	"Mi2/NuRD complex"
"200"	"MTA2"	"MBD2"	"MeCP1 complex"
"206"	"MBD3"	"MBD2"	"MeCP1 complex"
"211"	"RBBP4"	"MBD2"	"MeCP1 complex"
"215"	"MBD2"	"HDAC1"	"MeCP1 complex"
"218"	"MBD2"	"CHD4"	"MeCP1 complex"
"220"	"RBBP7"	"MBD2"	"MeCP1 complex"
"221"	"MBD2"	"HDAC2"	"MeCP1 complex"
"222"	"MED24"	"MED14"	"TRAP complex"
"223"	"THRA"	"MED14"	"TRAP complex"
"224"	"MED14"	"MED1"	"TRAP complex"
"225"	"MED14"	"MED12"	"TRAP complex"
"226"	"MED17"	"MED14"	"TRAP complex"
"227"	"THRAP3"	"MED14"	"TRAP complex"
"228"	"MED16"	"MED14"	"TRAP complex"
"229"	"THRA"	"MED24"	"TRAP complex"
"230"	"MED24"	"MED1"	"TRAP complex"
"231"	"MED24"	"MED12"	"TRAP complex"
"232"	"MED24"	"MED17"	"TRAP complex"
"233"	"THRAP3"	"MED24"	"TRAP complex"
"234"	"MED24"	"MED16"	"TRAP complex"
"235"	"THRA"	"MED1"	"TRAP complex"
"236"	"THRA"	"MED12"	"TRAP complex"
"237"	"THRA"	"MED17"	"TRAP complex"
"238"	"THRAP3"	"THRA"	"TRAP complex"
"239"	"THRA"	"MED16"	"TRAP complex"
"240"	"MED12"	"MED1"	"TRAP complex"
"241"	"MED17"	"MED1"	"TRAP complex"
"242"	"THRAP3"	"MED1"	"TRAP complex"
"243"	"MED16"	"MED1"	"TRAP complex"
"244"	"MED17"	"MED12"	"TRAP complex"
"245"	"THRAP3"	"MED12"	"TRAP complex"
"246"	"MED16"	"MED12"	"TRAP complex"
"247"	"THRAP3"	"MED17"	"TRAP complex"
"248"	"MED17"	"MED16"	"TRAP complex"
"249"	"THRAP3"	"MED16"	"TRAP complex"
"250"	"AP4M1"	"AP4E1"	"AP4 adaptor complex"
"251"	"AP4S1"	"AP4M1"	"AP4 adaptor complex"
"252"	"AP4M1"	"AP4B1"	"AP4 adaptor complex"
"253"	"AP4S1"	"AP4E1"	"AP4 adaptor complex"
"254"	"AP4E1"	"AP4B1"	"AP4 adaptor complex"
"255"	"AP4S1"	"AP4B1"	"AP4 adaptor complex"
"256"	"RAD51C"	"RAD51B"	"BCDX2 complex"
"257"	"XRCC2"	"RAD51B"	"BCDX2 complex"
"258"	"RAD51D"	"RAD51B"	"BCDX2 complex"
"259"	"XRCC2"	"RAD51C"	"BCDX2 complex"
"260"	"RAD51D"	"RAD51C"	"BCDX2 complex"
"261"	"XRCC2"	"RAD51D"	"BCDX2 complex"
"262"	"TRPC1"	"ITPR3"	"HOMER3-IP3R-TRPC1 complex"
"263"	"TRPC1"	"HOMER3"	"HOMER3-IP3R-TRPC1 complex"
"264"	"ITPR3"	"HOMER3"	"HOMER3-IP3R-TRPC1 complex"
"265"	"SKP1"	"RBX1"	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
"266"	"RBX1"	"CUL7"	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
"267"	"RBX1"	"FBXW8"	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
"268"	"SKP1"	"CUL7"	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
"269"	"SKP1"	"FBXW8"	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
"270"	"FBXW8"	"CUL7"	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"
"271"	"SMARCA4"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"272"	"ARID1A"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"273"	"SMARCB1"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"274"	"CARM1"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"275"	"SMARCC2"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"276"	"SMARCC1"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"277"	"SMARCE1"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"278"	"SMARCD1"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"279"	"SCYL1"	"ARID1A"	"NUMAC complex (nucleosomal methylation activator complex)"
"280"	"SMARCA4"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"281"	"SMARCB1"	"SMARCA4"	"NUMAC complex (nucleosomal methylation activator complex)"
"282"	"SMARCA4"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"283"	"SMARCC2"	"SMARCA4"	"NUMAC complex (nucleosomal methylation activator complex)"
"284"	"SMARCC1"	"SMARCA4"	"NUMAC complex (nucleosomal methylation activator complex)"
"285"	"SMARCE1"	"SMARCA4"	"NUMAC complex (nucleosomal methylation activator complex)"
"286"	"SMARCD1"	"SMARCA4"	"NUMAC complex (nucleosomal methylation activator complex)"
"287"	"SMARCA4"	"SCYL1"	"NUMAC complex (nucleosomal methylation activator complex)"
"288"	"SMARCB1"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"289"	"CARM1"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"290"	"SMARCC2"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"291"	"SMARCC1"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"292"	"SMARCE1"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"293"	"SMARCD1"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"294"	"SCYL1"	"ACTB"	"NUMAC complex (nucleosomal methylation activator complex)"
"295"	"SMARCB1"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"296"	"SMARCC2"	"SMARCB1"	"NUMAC complex (nucleosomal methylation activator complex)"
"297"	"SMARCC1"	"SMARCB1"	"NUMAC complex (nucleosomal methylation activator complex)"
"298"	"SMARCE1"	"SMARCB1"	"NUMAC complex (nucleosomal methylation activator complex)"
"299"	"SMARCD1"	"SMARCB1"	"NUMAC complex (nucleosomal methylation activator complex)"
"300"	"SMARCB1"	"SCYL1"	"NUMAC complex (nucleosomal methylation activator complex)"
"301"	"SMARCC2"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"302"	"SMARCC1"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"303"	"SMARCE1"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"304"	"SMARCD1"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"305"	"SCYL1"	"CARM1"	"NUMAC complex (nucleosomal methylation activator complex)"
"306"	"SMARCC2"	"SMARCC1"	"NUMAC complex (nucleosomal methylation activator complex)"
"307"	"SMARCE1"	"SMARCC2"	"NUMAC complex (nucleosomal methylation activator complex)"
"308"	"SMARCD1"	"SMARCC2"	"NUMAC complex (nucleosomal methylation activator complex)"
"309"	"SMARCC2"	"SCYL1"	"NUMAC complex (nucleosomal methylation activator complex)"
"310"	"SMARCE1"	"SMARCC1"	"NUMAC complex (nucleosomal methylation activator complex)"
"311"	"SMARCD1"	"SMARCC1"	"NUMAC complex (nucleosomal methylation activator complex)"
"312"	"SMARCC1"	"SCYL1"	"NUMAC complex (nucleosomal methylation activator complex)"
"313"	"SMARCE1"	"SMARCD1"	"NUMAC complex (nucleosomal methylation activator complex)"
"314"	"SMARCE1"	"SCYL1"	"NUMAC complex (nucleosomal methylation activator complex)"
"315"	"SMARCD1"	"SCYL1"	"NUMAC complex (nucleosomal methylation activator complex)"
"316"	"SEC13"	"NUP98"	"Nup 107-160 subcomplex"
"317"	"NUP98"	"NUP107"	"Nup 107-160 subcomplex"
"318"	"NUP98"	"NUP160"	"Nup 107-160 subcomplex"
"319"	"NUP98"	"NUP43"	"Nup 107-160 subcomplex"
"320"	"NUP98"	"NUP37"	"Nup 107-160 subcomplex"
"321"	"NUP98"	"NUP133"	"Nup 107-160 subcomplex"
"322"	"SEH1L"	"NUP98"	"Nup 107-160 subcomplex"
"323"	"NUP98"	"NUP85"	"Nup 107-160 subcomplex"
"324"	"SEC13"	"NUP107"	"Nup 107-160 subcomplex"
"325"	"SEC13"	"NUP160"	"Nup 107-160 subcomplex"
"326"	"SEC13"	"NUP43"	"Nup 107-160 subcomplex"
"327"	"SEC13"	"NUP37"	"Nup 107-160 subcomplex"
"328"	"SEC13"	"NUP133"	"Nup 107-160 subcomplex"
"329"	"SEH1L"	"SEC13"	"Nup 107-160 subcomplex"
"330"	"SEC13"	"NUP85"	"Nup 107-160 subcomplex"
"331"	"NUP160"	"NUP107"	"Nup 107-160 subcomplex"
"332"	"NUP43"	"NUP107"	"Nup 107-160 subcomplex"
"333"	"NUP37"	"NUP107"	"Nup 107-160 subcomplex"
"334"	"NUP133"	"NUP107"	"Nup 107-160 subcomplex"
"335"	"SEH1L"	"NUP107"	"Nup 107-160 subcomplex"
"336"	"NUP85"	"NUP107"	"Nup 107-160 subcomplex"
"337"	"NUP43"	"NUP160"	"Nup 107-160 subcomplex"
"338"	"NUP37"	"NUP160"	"Nup 107-160 subcomplex"
"339"	"NUP160"	"NUP133"	"Nup 107-160 subcomplex"
"340"	"SEH1L"	"NUP160"	"Nup 107-160 subcomplex"
"341"	"NUP85"	"NUP160"	"Nup 107-160 subcomplex"
"342"	"NUP43"	"NUP37"	"Nup 107-160 subcomplex"
"343"	"NUP43"	"NUP133"	"Nup 107-160 subcomplex"
"344"	"SEH1L"	"NUP43"	"Nup 107-160 subcomplex"
"345"	"NUP85"	"NUP43"	"Nup 107-160 subcomplex"
"346"	"NUP37"	"NUP133"	"Nup 107-160 subcomplex"
"347"	"SEH1L"	"NUP37"	"Nup 107-160 subcomplex"
"348"	"NUP85"	"NUP37"	"Nup 107-160 subcomplex"
"349"	"SEH1L"	"NUP133"	"Nup 107-160 subcomplex"
"350"	"NUP85"	"NUP133"	"Nup 107-160 subcomplex"
"351"	"SEH1L"	"NUP85"	"Nup 107-160 subcomplex"
"352"	"FANCG"	"FANCA"	"FA complex (Fanconi anemia complex), cytoplasmic"
"353"	"FANCG"	"FANCC"	"FA complex (Fanconi anemia complex), cytoplasmic"
"354"	"FANCG"	"FANCF"	"FA complex (Fanconi anemia complex), cytoplasmic"
"355"	"FANCC"	"FANCA"	"FA complex (Fanconi anemia complex), cytoplasmic"
"356"	"FANCF"	"FANCA"	"FA complex (Fanconi anemia complex), cytoplasmic"
"357"	"FANCF"	"FANCC"	"FA complex (Fanconi anemia complex), cytoplasmic"
"358"	"CDC27"	"CDC16"	"Anaphase-promoting complex"
"359"	"CDC27"	"ANAPC1"	"Anaphase-promoting complex"
"360"	"CDC27"	"CDC23"	"Anaphase-promoting complex"
"361"	"CDC27"	"ANAPC7"	"Anaphase-promoting complex"
"362"	"CDC27"	"ANAPC5"	"Anaphase-promoting complex"
"363"	"CDC27"	"ANAPC4"	"Anaphase-promoting complex"
"364"	"CDC27"	"ANAPC2"	"Anaphase-promoting complex"
"365"	"CDC16"	"ANAPC1"	"Anaphase-promoting complex"
"366"	"CDC23"	"CDC16"	"Anaphase-promoting complex"
"367"	"CDC16"	"ANAPC7"	"Anaphase-promoting complex"
"368"	"CDC16"	"ANAPC5"	"Anaphase-promoting complex"
"369"	"CDC16"	"ANAPC4"	"Anaphase-promoting complex"
"370"	"CDC16"	"ANAPC2"	"Anaphase-promoting complex"
"371"	"CDC23"	"ANAPC1"	"Anaphase-promoting complex"
"372"	"ANAPC7"	"ANAPC1"	"Anaphase-promoting complex"
"373"	"ANAPC5"	"ANAPC1"	"Anaphase-promoting complex"
"374"	"ANAPC4"	"ANAPC1"	"Anaphase-promoting complex"
"375"	"ANAPC2"	"ANAPC1"	"Anaphase-promoting complex"
"376"	"CDC23"	"ANAPC7"	"Anaphase-promoting complex"
"377"	"CDC23"	"ANAPC5"	"Anaphase-promoting complex"
"378"	"CDC23"	"ANAPC4"	"Anaphase-promoting complex"
"379"	"CDC23"	"ANAPC2"	"Anaphase-promoting complex"
"380"	"ANAPC7"	"ANAPC5"	"Anaphase-promoting complex"
"381"	"ANAPC7"	"ANAPC4"	"Anaphase-promoting complex"
"382"	"ANAPC7"	"ANAPC2"	"Anaphase-promoting complex"
"383"	"ANAPC5"	"ANAPC4"	"Anaphase-promoting complex"
"384"	"ANAPC5"	"ANAPC2"	"Anaphase-promoting complex"
"385"	"ANAPC4"	"ANAPC2"	"Anaphase-promoting complex"
"386"	"XRCC6"	"XRCC5"	"Ku antigen-NARG1 complex"
"387"	"XRCC6"	"NAA15"	"Ku antigen-NARG1 complex"
"388"	"XRCC5"	"NAA15"	"Ku antigen-NARG1 complex"
"396"	"CDC27"	"ANAPC10"	"Anaphase-promoting complex"
"403"	"CDC16"	"ANAPC10"	"Anaphase-promoting complex"
"409"	"ANAPC10"	"ANAPC1"	"Anaphase-promoting complex"
"414"	"CDC23"	"ANAPC10"	"Anaphase-promoting complex"
"418"	"ANAPC7"	"ANAPC10"	"Anaphase-promoting complex"
"421"	"ANAPC5"	"ANAPC10"	"Anaphase-promoting complex"
"423"	"ANAPC4"	"ANAPC10"	"Anaphase-promoting complex"
"424"	"ANAPC2"	"ANAPC10"	"Anaphase-promoting complex"
"425"	"TP53"	"MDM2"	"p300-MDM2-p53 protein complex"
"426"	"TP53"	"EP300"	"p300-MDM2-p53 protein complex"
"427"	"MDM2"	"EP300"	"p300-MDM2-p53 protein complex"
"428"	"SMARCA1"	"RBBP4"	"hNURF complex"
"429"	"SMARCA1"	"BPTF"	"hNURF complex"
"430"	"SMARCA1"	"RBBP7"	"hNURF complex"
"431"	"RBBP4"	"BPTF"	"hNURF complex"
"433"	"RBBP7"	"BPTF"	"hNURF complex"
"434"	"POLR2D"	"POLR2C"	"RNA polymerase II core complex"
"435"	"POLR2E"	"POLR2D"	"RNA polymerase II core complex"
"436"	"POLR2D"	"POLR2A"	"RNA polymerase II core complex"
"437"	"POLR2D"	"POLR2B"	"RNA polymerase II core complex"
