"V1"	"V2"	"complex"
"46"	"DPF3"	"ACTL6B"	"BAF complex"
"47"	"DPF1"	"ACTL6B"	"BAF complex"
"48"	"DPF2"	"ACTL6B"	"BAF complex"
"49"	"ARID1B"	"ARID1A"	"BAF complex"
"50"	"SMARCA2"	"ARID1A"	"BAF complex"
"51"	"SMARCA4"	"ARID1A"	"BAF complex"
"52"	"SMARCB1"	"ARID1A"	"BAF complex"
"53"	"SMARCC1"	"ARID1A"	"BAF complex"
"54"	"SMARCC2"	"ARID1A"	"BAF complex"
"55"	"SMARCD1"	"ARID1A"	"BAF complex"
"56"	"SMARCE1"	"ARID1A"	"BAF complex"
"57"	"SMARCD3"	"ARID1A"	"BAF complex"
"58"	"PBRM1"	"ARID1A"	"BAF complex"
"59"	"PHF10"	"ARID1A"	"BAF complex"
"60"	"DPF3"	"ARID1A"	"BAF complex"
"61"	"DPF1"	"ARID1A"	"BAF complex"
"62"	"DPF2"	"ARID1A"	"BAF complex"
"63"	"SMARCA2"	"ARID1B"	"BAF complex"
"64"	"SMARCA4"	"ARID1B"	"BAF complex"
"65"	"SMARCB1"	"ARID1B"	"BAF complex"
"66"	"SMARCC1"	"ARID1B"	"BAF complex"
"67"	"SMARCC2"	"ARID1B"	"BAF complex"
"68"	"SMARCD1"	"ARID1B"	"BAF complex"
"69"	"SMARCE1"	"ARID1B"	"BAF complex"
"70"	"SMARCD3"	"ARID1B"	"BAF complex"
"71"	"PBRM1"	"ARID1B"	"BAF complex"
"72"	"PHF10"	"ARID1B"	"BAF complex"
"73"	"DPF3"	"ARID1B"	"BAF complex"
"74"	"DPF1"	"ARID1B"	"BAF complex"
"75"	"DPF2"	"ARID1B"	"BAF complex"
"76"	"SMARCA4"	"SMARCA2"	"BAF complex"
"77"	"SMARCB1"	"SMARCA2"	"BAF complex"
"78"	"SMARCC1"	"SMARCA2"	"BAF complex"
"79"	"SMARCC2"	"SMARCA2"	"BAF complex"
"80"	"SMARCD1"	"SMARCA2"	"BAF complex"
"81"	"SMARCE1"	"SMARCA2"	"BAF complex"
"82"	"SMARCD3"	"SMARCA2"	"BAF complex"
"83"	"SMARCA2"	"PBRM1"	"BAF complex"
"84"	"SMARCA2"	"PHF10"	"BAF complex"
"85"	"SMARCA2"	"DPF3"	"BAF complex"
"86"	"SMARCA2"	"DPF1"	"BAF complex"
"87"	"SMARCA2"	"DPF2"	"BAF complex"
"88"	"SMARCB1"	"SMARCA4"	"BAF complex"
"89"	"SMARCC1"	"SMARCA4"	"BAF complex"
"90"	"SMARCC2"	"SMARCA4"	"BAF complex"
"91"	"SMARCD1"	"SMARCA4"	"BAF complex"
"92"	"SMARCE1"	"SMARCA4"	"BAF complex"
"93"	"SMARCD3"	"SMARCA4"	"BAF complex"
"94"	"SMARCA4"	"PBRM1"	"BAF complex"
"95"	"SMARCA4"	"PHF10"	"BAF complex"
"96"	"SMARCA4"	"DPF3"	"BAF complex"
"97"	"SMARCA4"	"DPF1"	"BAF complex"
"98"	"SMARCA4"	"DPF2"	"BAF complex"
"99"	"SMARCC1"	"SMARCB1"	"BAF complex"
"100"	"SMARCC2"	"SMARCB1"	"BAF complex"
"101"	"SMARCD1"	"SMARCB1"	"BAF complex"
"102"	"SMARCE1"	"SMARCB1"	"BAF complex"
"103"	"SMARCD3"	"SMARCB1"	"BAF complex"
"104"	"SMARCB1"	"PBRM1"	"BAF complex"
"105"	"SMARCB1"	"PHF10"	"BAF complex"
"106"	"SMARCB1"	"DPF3"	"BAF complex"
"107"	"SMARCB1"	"DPF1"	"BAF complex"
"108"	"SMARCB1"	"DPF2"	"BAF complex"
"109"	"SMARCC2"	"SMARCC1"	"BAF complex"
"110"	"SMARCD1"	"SMARCC1"	"BAF complex"
"111"	"SMARCE1"	"SMARCC1"	"BAF complex"
"112"	"SMARCD3"	"SMARCC1"	"BAF complex"
"113"	"SMARCC1"	"PBRM1"	"BAF complex"
"114"	"SMARCC1"	"PHF10"	"BAF complex"
"115"	"SMARCC1"	"DPF3"	"BAF complex"
"116"	"SMARCC1"	"DPF1"	"BAF complex"
"117"	"SMARCC1"	"DPF2"	"BAF complex"
"118"	"SMARCD1"	"SMARCC2"	"BAF complex"
"119"	"SMARCE1"	"SMARCC2"	"BAF complex"
"120"	"SMARCD3"	"SMARCC2"	"BAF complex"
"121"	"SMARCC2"	"PBRM1"	"BAF complex"
"122"	"SMARCC2"	"PHF10"	"BAF complex"
"123"	"SMARCC2"	"DPF3"	"BAF complex"
"124"	"SMARCC2"	"DPF1"	"BAF complex"
"125"	"SMARCC2"	"DPF2"	"BAF complex"
"126"	"SMARCE1"	"SMARCD1"	"BAF complex"
"127"	"SMARCD3"	"SMARCD1"	"BAF complex"
"128"	"SMARCD1"	"PBRM1"	"BAF complex"
"129"	"SMARCD1"	"PHF10"	"BAF complex"
"130"	"SMARCD1"	"DPF3"	"BAF complex"
"131"	"SMARCD1"	"DPF1"	"BAF complex"
"132"	"SMARCD1"	"DPF2"	"BAF complex"
"133"	"SMARCE1"	"SMARCD3"	"BAF complex"
"134"	"SMARCE1"	"PBRM1"	"BAF complex"
"135"	"SMARCE1"	"PHF10"	"BAF complex"
"136"	"SMARCE1"	"DPF3"	"BAF complex"
"137"	"SMARCE1"	"DPF1"	"BAF complex"
"138"	"SMARCE1"	"DPF2"	"BAF complex"
"139"	"SMARCD3"	"PBRM1"	"BAF complex"
"140"	"SMARCD3"	"PHF10"	"BAF complex"
"141"	"SMARCD3"	"DPF3"	"BAF complex"
"142"	"SMARCD3"	"DPF1"	"BAF complex"
"143"	"SMARCD3"	"DPF2"	"BAF complex"
"144"	"PHF10"	"PBRM1"	"BAF complex"
"145"	"PBRM1"	"DPF3"	"BAF complex"
"146"	"PBRM1"	"DPF1"	"BAF complex"
"147"	"PBRM1"	"DPF2"	"BAF complex"
"148"	"PHF10"	"DPF3"	"BAF complex"
"149"	"PHF10"	"DPF1"	"BAF complex"
"150"	"PHF10"	"DPF2"	"BAF complex"
"151"	"DPF3"	"DPF1"	"BAF complex"
"152"	"DPF3"	"DPF2"	"BAF complex"
"153"	"DPF2"	"DPF1"	"BAF complex"
"154"	"INTS15"	"INTS13"	"Integrator"
"155"	"INTS6L"	"INTS13"	"Integrator"
"156"	"INTS13"	"INTS10"	"Integrator"
"157"	"INTS13"	"INTS11"	"Integrator"
"158"	"INTS13"	"INTS12"	"Integrator"
"159"	"INTS13"	"INTS1"	"Integrator"
"160"	"INTS2"	"INTS13"	"Integrator"
"161"	"INTS3"	"INTS13"	"Integrator"
"162"	"INTS4"	"INTS13"	"Integrator"
"163"	"INTS5"	"INTS13"	"Integrator"
"164"	"INTS6"	"INTS13"	"Integrator"
"165"	"INTS7"	"INTS13"	"Integrator"
"166"	"INTS8"	"INTS13"	"Integrator"
"167"	"INTS9"	"INTS13"	"Integrator"
"168"	"NABP2"	"INTS13"	"Integrator"
"169"	"NABP1"	"INTS13"	"Integrator"
"170"	"INTS13"	"INIP"	"Integrator"
"171"	"INTS6L"	"INTS15"	"Integrator"
"172"	"INTS15"	"INTS10"	"Integrator"
"173"	"INTS15"	"INTS11"	"Integrator"
"174"	"INTS15"	"INTS12"	"Integrator"
"175"	"INTS15"	"INTS1"	"Integrator"
"176"	"INTS2"	"INTS15"	"Integrator"
"177"	"INTS3"	"INTS15"	"Integrator"
"178"	"INTS4"	"INTS15"	"Integrator"
"179"	"INTS5"	"INTS15"	"Integrator"
"180"	"INTS6"	"INTS15"	"Integrator"
"181"	"INTS7"	"INTS15"	"Integrator"
"182"	"INTS8"	"INTS15"	"Integrator"
"183"	"INTS9"	"INTS15"	"Integrator"
"184"	"NABP2"	"INTS15"	"Integrator"
"185"	"NABP1"	"INTS15"	"Integrator"
"186"	"INTS15"	"INIP"	"Integrator"
"187"	"INTS6L"	"INTS10"	"Integrator"
"188"	"INTS6L"	"INTS11"	"Integrator"
"189"	"INTS6L"	"INTS12"	"Integrator"
"190"	"INTS6L"	"INTS1"	"Integrator"
"191"	"INTS6L"	"INTS2"	"Integrator"
"192"	"INTS6L"	"INTS3"	"Integrator"
"193"	"INTS6L"	"INTS4"	"Integrator"
"194"	"INTS6L"	"INTS5"	"Integrator"
"195"	"INTS6L"	"INTS6"	"Integrator"
"196"	"INTS7"	"INTS6L"	"Integrator"
"197"	"INTS8"	"INTS6L"	"Integrator"
"198"	"INTS9"	"INTS6L"	"Integrator"
"199"	"NABP2"	"INTS6L"	"Integrator"
"200"	"NABP1"	"INTS6L"	"Integrator"
"201"	"INTS6L"	"INIP"	"Integrator"
"202"	"INTS11"	"INTS10"	"Integrator"
"203"	"INTS12"	"INTS10"	"Integrator"
"204"	"INTS10"	"INTS1"	"Integrator"
"205"	"INTS2"	"INTS10"	"Integrator"
"206"	"INTS3"	"INTS10"	"Integrator"
"207"	"INTS4"	"INTS10"	"Integrator"
"208"	"INTS5"	"INTS10"	"Integrator"
"209"	"INTS6"	"INTS10"	"Integrator"
"210"	"INTS7"	"INTS10"	"Integrator"
"211"	"INTS8"	"INTS10"	"Integrator"
"212"	"INTS9"	"INTS10"	"Integrator"
"213"	"NABP2"	"INTS10"	"Integrator"
"214"	"NABP1"	"INTS10"	"Integrator"
"215"	"INTS10"	"INIP"	"Integrator"
"216"	"INTS12"	"INTS11"	"Integrator"
"217"	"INTS11"	"INTS1"	"Integrator"
"218"	"INTS2"	"INTS11"	"Integrator"
"219"	"INTS3"	"INTS11"	"Integrator"
"220"	"INTS4"	"INTS11"	"Integrator"
"221"	"INTS5"	"INTS11"	"Integrator"
"222"	"INTS6"	"INTS11"	"Integrator"
"223"	"INTS7"	"INTS11"	"Integrator"
"224"	"INTS8"	"INTS11"	"Integrator"
"225"	"INTS9"	"INTS11"	"Integrator"
"226"	"NABP2"	"INTS11"	"Integrator"
"227"	"NABP1"	"INTS11"	"Integrator"
"228"	"INTS11"	"INIP"	"Integrator"
"229"	"INTS12"	"INTS1"	"Integrator"
"230"	"INTS2"	"INTS12"	"Integrator"
"231"	"INTS3"	"INTS12"	"Integrator"
"232"	"INTS4"	"INTS12"	"Integrator"
"233"	"INTS5"	"INTS12"	"Integrator"
"234"	"INTS6"	"INTS12"	"Integrator"
"235"	"INTS7"	"INTS12"	"Integrator"
"236"	"INTS8"	"INTS12"	"Integrator"
"237"	"INTS9"	"INTS12"	"Integrator"
"238"	"NABP2"	"INTS12"	"Integrator"
"239"	"NABP1"	"INTS12"	"Integrator"
"240"	"INTS12"	"INIP"	"Integrator"
"241"	"INTS2"	"INTS1"	"Integrator"
"242"	"INTS3"	"INTS1"	"Integrator"
"243"	"INTS4"	"INTS1"	"Integrator"
"244"	"INTS5"	"INTS1"	"Integrator"
"245"	"INTS6"	"INTS1"	"Integrator"
"246"	"INTS7"	"INTS1"	"Integrator"
"247"	"INTS8"	"INTS1"	"Integrator"
"248"	"INTS9"	"INTS1"	"Integrator"
"249"	"NABP2"	"INTS1"	"Integrator"
"250"	"NABP1"	"INTS1"	"Integrator"
"251"	"INTS1"	"INIP"	"Integrator"
"252"	"INTS3"	"INTS2"	"Integrator"
"253"	"INTS4"	"INTS2"	"Integrator"
"254"	"INTS5"	"INTS2"	"Integrator"
"255"	"INTS6"	"INTS2"	"Integrator"
"256"	"INTS7"	"INTS2"	"Integrator"
"257"	"INTS8"	"INTS2"	"Integrator"
"258"	"INTS9"	"INTS2"	"Integrator"
"259"	"NABP2"	"INTS2"	"Integrator"
"260"	"NABP1"	"INTS2"	"Integrator"
"261"	"INTS2"	"INIP"	"Integrator"
"262"	"INTS4"	"INTS3"	"Integrator"
"263"	"INTS5"	"INTS3"	"Integrator"
"264"	"INTS6"	"INTS3"	"Integrator"
"265"	"INTS7"	"INTS3"	"Integrator"
"266"	"INTS8"	"INTS3"	"Integrator"
"267"	"INTS9"	"INTS3"	"Integrator"
"268"	"NABP2"	"INTS3"	"Integrator"
"269"	"NABP1"	"INTS3"	"Integrator"
"270"	"INTS3"	"INIP"	"Integrator"
"271"	"INTS5"	"INTS4"	"Integrator"
"272"	"INTS6"	"INTS4"	"Integrator"
"273"	"INTS7"	"INTS4"	"Integrator"
"274"	"INTS8"	"INTS4"	"Integrator"
"275"	"INTS9"	"INTS4"	"Integrator"
"276"	"NABP2"	"INTS4"	"Integrator"
"277"	"NABP1"	"INTS4"	"Integrator"
"278"	"INTS4"	"INIP"	"Integrator"
"279"	"INTS6"	"INTS5"	"Integrator"
"280"	"INTS7"	"INTS5"	"Integrator"
"281"	"INTS8"	"INTS5"	"Integrator"
"282"	"INTS9"	"INTS5"	"Integrator"
"283"	"NABP2"	"INTS5"	"Integrator"
"284"	"NABP1"	"INTS5"	"Integrator"
"285"	"INTS5"	"INIP"	"Integrator"
"286"	"INTS7"	"INTS6"	"Integrator"
"287"	"INTS8"	"INTS6"	"Integrator"
"288"	"INTS9"	"INTS6"	"Integrator"
"289"	"NABP2"	"INTS6"	"Integrator"
"290"	"NABP1"	"INTS6"	"Integrator"
"291"	"INTS6"	"INIP"	"Integrator"
"292"	"INTS8"	"INTS7"	"Integrator"
"293"	"INTS9"	"INTS7"	"Integrator"
"294"	"NABP2"	"INTS7"	"Integrator"
"295"	"NABP1"	"INTS7"	"Integrator"
"296"	"INTS7"	"INIP"	"Integrator"
"297"	"INTS9"	"INTS8"	"Integrator"
"298"	"NABP2"	"INTS8"	"Integrator"
"299"	"NABP1"	"INTS8"	"Integrator"
"300"	"INTS8"	"INIP"	"Integrator"
"301"	"NABP2"	"INTS9"	"Integrator"
"302"	"NABP1"	"INTS9"	"Integrator"
"303"	"INTS9"	"INIP"	"Integrator"
"304"	"NABP2"	"NABP1"	"Integrator"
"305"	"NABP2"	"INIP"	"Integrator"
"306"	"NABP1"	"INIP"	"Integrator"
"307"	"CCAR1"	"BUB3"	"Spliceosome-A"
"308"	"CDK11A"	"BUB3"	"Spliceosome-A"
"309"	"TRIR"	"BUB3"	"Spliceosome-A"
"310"	"DDX17"	"BUB3"	"Spliceosome-A"
"311"	"DDX5"	"BUB3"	"Spliceosome-A"
"312"	"FUS"	"BUB3"	"Spliceosome-A"
"313"	"HTATSF1"	"BUB3"	"Spliceosome-A"
"314"	"LUC7L"	"BUB3"	"Spliceosome-A"
"315"	"PRPF40A"	"BUB3"	"Spliceosome-A"
"316"	"RBM10"	"BUB3"	"Spliceosome-A"
"317"	"RBM23"	"BUB3"	"Spliceosome-A"
"318"	"RBM25"	"BUB3"	"Spliceosome-A"
"319"	"RBM39"	"BUB3"	"Spliceosome-A"
"320"	"RBM5"	"BUB3"	"Spliceosome-A"
"321"	"SF1"	"BUB3"	"Spliceosome-A"
"322"	"SUGP1"	"BUB3"	"Spliceosome-A"
"323"	"TCERG1"	"BUB3"	"Spliceosome-A"
"324"	"CDK11A"	"CCAR1"	"Spliceosome-A"
"325"	"TRIR"	"CCAR1"	"Spliceosome-A"
"326"	"DDX17"	"CCAR1"	"Spliceosome-A"
"327"	"DDX5"	"CCAR1"	"Spliceosome-A"
"328"	"FUS"	"CCAR1"	"Spliceosome-A"
"329"	"HTATSF1"	"CCAR1"	"Spliceosome-A"
"330"	"LUC7L"	"CCAR1"	"Spliceosome-A"
"331"	"PRPF40A"	"CCAR1"	"Spliceosome-A"
"332"	"RBM10"	"CCAR1"	"Spliceosome-A"
"333"	"RBM23"	"CCAR1"	"Spliceosome-A"
"334"	"RBM25"	"CCAR1"	"Spliceosome-A"
"335"	"RBM39"	"CCAR1"	"Spliceosome-A"
"336"	"RBM5"	"CCAR1"	"Spliceosome-A"
"337"	"SF1"	"CCAR1"	"Spliceosome-A"
"338"	"SUGP1"	"CCAR1"	"Spliceosome-A"
"339"	"TCERG1"	"CCAR1"	"Spliceosome-A"
"340"	"TRIR"	"CDK11A"	"Spliceosome-A"
"341"	"DDX17"	"CDK11A"	"Spliceosome-A"
"342"	"DDX5"	"CDK11A"	"Spliceosome-A"
"343"	"FUS"	"CDK11A"	"Spliceosome-A"
"344"	"HTATSF1"	"CDK11A"	"Spliceosome-A"
"345"	"LUC7L"	"CDK11A"	"Spliceosome-A"
"346"	"PRPF40A"	"CDK11A"	"Spliceosome-A"
"347"	"RBM10"	"CDK11A"	"Spliceosome-A"
"348"	"RBM23"	"CDK11A"	"Spliceosome-A"
"349"	"RBM25"	"CDK11A"	"Spliceosome-A"
"350"	"RBM39"	"CDK11A"	"Spliceosome-A"
"351"	"RBM5"	"CDK11A"	"Spliceosome-A"
"352"	"SF1"	"CDK11A"	"Spliceosome-A"
"353"	"SUGP1"	"CDK11A"	"Spliceosome-A"
"354"	"TCERG1"	"CDK11A"	"Spliceosome-A"
"355"	"TRIR"	"DDX17"	"Spliceosome-A"
"356"	"TRIR"	"DDX5"	"Spliceosome-A"
"357"	"TRIR"	"FUS"	"Spliceosome-A"
"358"	"TRIR"	"HTATSF1"	"Spliceosome-A"
"359"	"TRIR"	"LUC7L"	"Spliceosome-A"
"360"	"TRIR"	"PRPF40A"	"Spliceosome-A"
"361"	"TRIR"	"RBM10"	"Spliceosome-A"
"362"	"TRIR"	"RBM23"	"Spliceosome-A"
"363"	"TRIR"	"RBM25"	"Spliceosome-A"
"364"	"TRIR"	"RBM39"	"Spliceosome-A"
"365"	"TRIR"	"RBM5"	"Spliceosome-A"
"366"	"TRIR"	"SF1"	"Spliceosome-A"
"367"	"TRIR"	"SUGP1"	"Spliceosome-A"
"368"	"TRIR"	"TCERG1"	"Spliceosome-A"
"369"	"DDX5"	"DDX17"	"Spliceosome-A"
"370"	"FUS"	"DDX17"	"Spliceosome-A"
"371"	"HTATSF1"	"DDX17"	"Spliceosome-A"
"372"	"LUC7L"	"DDX17"	"Spliceosome-A"
"373"	"PRPF40A"	"DDX17"	"Spliceosome-A"
"374"	"RBM10"	"DDX17"	"Spliceosome-A"
"375"	"RBM23"	"DDX17"	"Spliceosome-A"
"376"	"RBM25"	"DDX17"	"Spliceosome-A"
"377"	"RBM39"	"DDX17"	"Spliceosome-A"
"378"	"RBM5"	"DDX17"	"Spliceosome-A"
"379"	"SF1"	"DDX17"	"Spliceosome-A"
"380"	"SUGP1"	"DDX17"	"Spliceosome-A"
"381"	"TCERG1"	"DDX17"	"Spliceosome-A"
"382"	"FUS"	"DDX5"	"Spliceosome-A"
"383"	"HTATSF1"	"DDX5"	"Spliceosome-A"
"384"	"LUC7L"	"DDX5"	"Spliceosome-A"
"385"	"PRPF40A"	"DDX5"	"Spliceosome-A"
"386"	"RBM10"	"DDX5"	"Spliceosome-A"
"387"	"RBM23"	"DDX5"	"Spliceosome-A"
"388"	"RBM25"	"DDX5"	"Spliceosome-A"
"389"	"RBM39"	"DDX5"	"Spliceosome-A"
"390"	"RBM5"	"DDX5"	"Spliceosome-A"
"391"	"SF1"	"DDX5"	"Spliceosome-A"
"392"	"SUGP1"	"DDX5"	"Spliceosome-A"
"393"	"TCERG1"	"DDX5"	"Spliceosome-A"
"394"	"HTATSF1"	"FUS"	"Spliceosome-A"
"395"	"LUC7L"	"FUS"	"Spliceosome-A"
"396"	"PRPF40A"	"FUS"	"Spliceosome-A"
"397"	"RBM10"	"FUS"	"Spliceosome-A"
"398"	"RBM23"	"FUS"	"Spliceosome-A"
"399"	"RBM25"	"FUS"	"Spliceosome-A"
"400"	"RBM39"	"FUS"	"Spliceosome-A"
"401"	"RBM5"	"FUS"	"Spliceosome-A"
"402"	"SF1"	"FUS"	"Spliceosome-A"
"403"	"SUGP1"	"FUS"	"Spliceosome-A"
"404"	"TCERG1"	"FUS"	"Spliceosome-A"
"405"	"LUC7L"	"HTATSF1"	"Spliceosome-A"
"406"	"PRPF40A"	"HTATSF1"	"Spliceosome-A"
"407"	"RBM10"	"HTATSF1"	"Spliceosome-A"
"408"	"RBM23"	"HTATSF1"	"Spliceosome-A"
"409"	"RBM25"	"HTATSF1"	"Spliceosome-A"
"410"	"RBM39"	"HTATSF1"	"Spliceosome-A"
"411"	"RBM5"	"HTATSF1"	"Spliceosome-A"
"412"	"SF1"	"HTATSF1"	"Spliceosome-A"
"413"	"SUGP1"	"HTATSF1"	"Spliceosome-A"
"414"	"TCERG1"	"HTATSF1"	"Spliceosome-A"
"415"	"PRPF40A"	"LUC7L"	"Spliceosome-A"
"416"	"RBM10"	"LUC7L"	"Spliceosome-A"
"417"	"RBM23"	"LUC7L"	"Spliceosome-A"
"418"	"RBM25"	"LUC7L"	"Spliceosome-A"
"419"	"RBM39"	"LUC7L"	"Spliceosome-A"
"420"	"RBM5"	"LUC7L"	"Spliceosome-A"
"421"	"SF1"	"LUC7L"	"Spliceosome-A"
"422"	"SUGP1"	"LUC7L"	"Spliceosome-A"
"423"	"TCERG1"	"LUC7L"	"Spliceosome-A"
"424"	"RBM10"	"PRPF40A"	"Spliceosome-A"
"425"	"RBM23"	"PRPF40A"	"Spliceosome-A"
"426"	"RBM25"	"PRPF40A"	"Spliceosome-A"
"427"	"RBM39"	"PRPF40A"	"Spliceosome-A"
"428"	"RBM5"	"PRPF40A"	"Spliceosome-A"
"429"	"SF1"	"PRPF40A"	"Spliceosome-A"
"430"	"SUGP1"	"PRPF40A"	"Spliceosome-A"
"431"	"TCERG1"	"PRPF40A"	"Spliceosome-A"
"432"	"RBM23"	"RBM10"	"Spliceosome-A"
"433"	"RBM25"	"RBM10"	"Spliceosome-A"
"434"	"RBM39"	"RBM10"	"Spliceosome-A"
"435"	"RBM5"	"RBM10"	"Spliceosome-A"
"436"	"SF1"	"RBM10"	"Spliceosome-A"
"437"	"SUGP1"	"RBM10"	"Spliceosome-A"
"438"	"TCERG1"	"RBM10"	"Spliceosome-A"
"439"	"RBM25"	"RBM23"	"Spliceosome-A"
"440"	"RBM39"	"RBM23"	"Spliceosome-A"
"441"	"RBM5"	"RBM23"	"Spliceosome-A"
"442"	"SF1"	"RBM23"	"Spliceosome-A"
"443"	"SUGP1"	"RBM23"	"Spliceosome-A"
"444"	"TCERG1"	"RBM23"	"Spliceosome-A"
"445"	"RBM39"	"RBM25"	"Spliceosome-A"
"446"	"RBM5"	"RBM25"	"Spliceosome-A"
"447"	"SF1"	"RBM25"	"Spliceosome-A"
"448"	"SUGP1"	"RBM25"	"Spliceosome-A"
"449"	"TCERG1"	"RBM25"	"Spliceosome-A"
"450"	"RBM5"	"RBM39"	"Spliceosome-A"
"451"	"SF1"	"RBM39"	"Spliceosome-A"
"452"	"SUGP1"	"RBM39"	"Spliceosome-A"
"453"	"TCERG1"	"RBM39"	"Spliceosome-A"
"454"	"SF1"	"RBM5"	"Spliceosome-A"
"455"	"SUGP1"	"RBM5"	"Spliceosome-A"
"456"	"TCERG1"	"RBM5"	"Spliceosome-A"
"457"	"SUGP1"	"SF1"	"Spliceosome-A"
"458"	"TCERG1"	"SF1"	"Spliceosome-A"
"459"	"TCERG1"	"SUGP1"	"Spliceosome-A"
"460"	"DDX17"	"DDX1"	"Large Drosha complex"
"461"	"DDX3X"	"DDX1"	"Large Drosha complex"
"462"	"DDX5"	"DDX1"	"Large Drosha complex"
"463"	"DHX15"	"DDX1"	"Large Drosha complex"
"464"	"EWSR1"	"DDX1"	"Large Drosha complex"
"465"	"FUS"	"DDX1"	"Large Drosha complex"
"466"	"HNRNPH1"	"DDX1"	"Large Drosha complex"
"467"	"HNRNPM"	"DDX1"	"Large Drosha complex"
"468"	"HNRNPU"	"DDX1"	"Large Drosha complex"
"469"	"HNRNPUL1"	"DDX1"	"Large Drosha complex"
"470"	"HNRNPDL"	"DDX1"	"Large Drosha complex"
"471"	"ILF2"	"DDX1"	"Large Drosha complex"
"472"	"ILF3"	"DDX1"	"Large Drosha complex"
"473"	"RALY"	"DDX1"	"Large Drosha complex"
"474"	"TARDBP"	"DDX1"	"Large Drosha complex"
"475"	"DDX3X"	"DDX17"	"Large Drosha complex"
"477"	"DHX15"	"DDX17"	"Large Drosha complex"
"478"	"EWSR1"	"DDX17"	"Large Drosha complex"
"480"	"HNRNPH1"	"DDX17"	"Large Drosha complex"
"481"	"HNRNPM"	"DDX17"	"Large Drosha complex"
"482"	"HNRNPU"	"DDX17"	"Large Drosha complex"
"483"	"HNRNPUL1"	"DDX17"	"Large Drosha complex"
"484"	"HNRNPDL"	"DDX17"	"Large Drosha complex"
"485"	"ILF2"	"DDX17"	"Large Drosha complex"
"486"	"ILF3"	"DDX17"	"Large Drosha complex"
"487"	"RALY"	"DDX17"	"Large Drosha complex"
"488"	"TARDBP"	"DDX17"	"Large Drosha complex"
"489"	"DDX5"	"DDX3X"	"Large Drosha complex"
"490"	"DHX15"	"DDX3X"	"Large Drosha complex"
"491"	"EWSR1"	"DDX3X"	"Large Drosha complex"
"492"	"FUS"	"DDX3X"	"Large Drosha complex"
"493"	"HNRNPH1"	"DDX3X"	"Large Drosha complex"
"494"	"HNRNPM"	"DDX3X"	"Large Drosha complex"
"495"	"HNRNPU"	"DDX3X"	"Large Drosha complex"
"496"	"HNRNPUL1"	"DDX3X"	"Large Drosha complex"
"497"	"HNRNPDL"	"DDX3X"	"Large Drosha complex"
"498"	"ILF2"	"DDX3X"	"Large Drosha complex"
"499"	"ILF3"	"DDX3X"	"Large Drosha complex"
"500"	"RALY"	"DDX3X"	"Large Drosha complex"
"501"	"TARDBP"	"DDX3X"	"Large Drosha complex"
